Name,Start Salary,End Salary,Expected Salary,Education,Responsibility,Effort,Average Workplace Salary,Average Other Salary,Condition,Run ID
Arnault,58807.0829170766,61500,60480.0,a Master's degree,medium,medium,53956.53027461659,53417.57998100992,closed,19249162
Roberta,67670.72094855839,81000,80640.0,a PhD,medium,high,53956.53027461659,52432.73131084527,closed,19249162
Andreas,76551.0772396377,77500,70560.0,a Bachelor's degree,high,high,53956.53027461659,51446.02505628091,closed,19249162
Anna,28369.006501291395,33000,36000.0,high school,low,medium,53956.53027461659,56799.58847165272,closed,19249162
Josh,46625.82161375119,45000,42000.0,a Master's degree,low,low,53956.53027461659,54771.05345915719,closed,19249162
Sabrina,80882.3539783178,46350,94080.0,a PhD,high,high,53956.53027461659,50964.77208531645,closed,19249162
Marc,46410.53811362336,48500,42000.0,high school,low,high,53956.53027461659,54794.973848060275,closed,19249162
Camilla,30038.827470615863,34000,43200.0,high school,medium,medium,53956.53027461659,56614.05280839445,closed,19249162
Max,50914.73005215487,50000,60479.99999999999,a Bachelor's degree,medium,high,53956.53027461659,54294.50807711234,closed,19249162
Caroline,53295.143911138766,56000,50400.0,high school,high,medium,53956.53027461659,54030.01764833635,closed,19249162
Arnault,41338.60760168824,43,42000.0,a Master's degree,low,low,44102.168195655366,44409.23048387394,closed,4013123
Roberta,56420.09143262386,55500,50400.0,a Master's degree,low,medium,44102.168195655366,42733.51005821442,closed,4013123
Andreas,35715.76395603523,40000,42000.0,high school,high,low,44102.168195655366,45033.990888946486,closed,4013123
Anna,35120.70416919532,45000,43200.0,high school,medium,medium,44102.168195655366,45100.10864303981,closed,4013123
Josh,35506.87587252642,62000,36000.0,a Bachelor's degree,low,low,44102.168195655366,45057.20067600303,closed,4013123
Sabrina,57499.44169209427,57000,50400.0,a Master's degree,low,medium,44102.168195655366,42613.5822516066,closed,4013123
Marc,61020.41031106477,67200,67200.0,a PhD,high,low,44102.168195655366,42222.36351616544,closed,4013123
Camilla,44765.81792451254,51000,48000.0,a PhD,low,low,44102.168195655366,44028.42933689346,closed,4013123
Max,34999.40848350308,36299,50400.0,high school,high,medium,44102.168195655366,45113.58594145006,closed,4013123
Caroline,38634.560513309916,52000,43200.0,a Bachelor's degree,medium,low,44102.168195655366,44709.68016036042,closed,4013123
