Name,Start Salary,End Salary,Expected Salary,Education,Responsibility,Effort,Average Workplace Salary,Average Other Salary,Condition,Run ID
Arnault,35367.59417127324,40000,42000.0,a Master's degree,low,low,59523.04252109554,62206.98122663135,closed,55278099
Roberta,51649.89792671727,53,43200.0,a Bachelor's degree,low,medium,59523.04252109554,60397.83636491535,closed,55278099
Andreas,90905.33281933359,95000,94080.0,a PhD,high,high,59523.04252109554,56036.12137684687,closed,55278099
Anna,75194.52509436985,53000,51840.0,a Bachelor's degree,medium,medium,59523.04252109554,57781.766679620625,closed,55278099
Josh,36355.02685822032,52500,36000.0,a Bachelor's degree,low,low,59523.04252109554,62097.266483637235,closed,55278099
Sabrina,126080.5457776434,80000,80640.0,a PhD,high,medium,59523.04252109554,52127.764381479115,closed,55278099
Marc,45505.42742698216,47000,36000.0,a Bachelor's degree,low,low,59523.04252109554,61080.55530933036,closed,55278099
Camilla,50696.72595033287,52500,60479.99999999999,a Bachelor's degree,medium,high,59523.04252109554,60503.7443622914,closed,55278099
Max,39785.682650230025,67500,51840.0,a Bachelor's degree,medium,medium,59523.04252109554,61716.08250674727,closed,55278099
Caroline,43689.66653585271,48000,50400.0,a Bachelor's degree,low,high,59523.04252109554,61282.30651945586,closed,55278099
Arnault,44628.064249156945,48000,50400.0,high school,high,medium,49920.87340321003,50508.96330921593,closed,4073054
Roberta,41866.15839637542,56100,36000.0,high school,low,medium,49920.87340321003,50815.84173730276,closed,4073054
Andreas,35119.4967766899,46000,42000.0,a Master's degree,low,low,49920.87340321003,51565.470806156714,closed,4073054
Anna,37814.75615835489,43600,43200.0,high school,medium,medium,49920.87340321003,51265.99754152727,closed,4073054
Josh,52640.0921794134,50000,57600.0,a PhD,medium,low,49920.87340321003,49618.73798363187,closed,4073054
Sabrina,91192.38145118456,95000,82319.99999999999,a Master's degree,high,high,49920.87340321003,45335.15028676842,closed,4073054
Marc,47472.298038200766,56500,43200.0,a Bachelor's degree,low,medium,49920.87340321003,50192.93733265551,closed,4073054
Camilla,50324.41001426443,57000,36000.0,a Bachelor's degree,low,low,49920.87340321003,49876.03600198177,closed,4073054
Max,53047.26356556788,53000,58799.99999999999,a Master's degree,high,low,49920.87340321003,49573.4967185036,closed,4073054
Caroline,45103.81320289207,50750,48000.0,a PhD,low,low,49920.87340321003,50456.10231435647,closed,4073054
Arnault,51880.08194507415,58800,58799.99999999999,high school,high,high,48777.50548658731,48432.774768977666,closed,2363021
Roberta,62986.241636690494,55000,58799.99999999999,a Master's degree,low,high,48777.50548658731,47198.757025464736,closed,2363021
Andreas,38753.94427834331,51750,43200.0,a Bachelor's degree,low,medium,48777.50548658731,49891.23450972554,closed,2363021
Anna,42515.989810695675,47000,42000.0,high school,low,high,48777.50548658731,49473.22945057527,closed,2363021
Josh,34118.383168838016,37000,36000.0,high school,medium,low,48777.50548658731,50406.29685522612,closed,2363021
Sabrina,44375.74884153912,47500,36000.0,high school,low,medium,48777.50548658731,49266.58955825933,closed,2363021
Marc,32148.073049159782,36148,42000.0,a Master's degree,low,low,48777.50548658731,50625.22020185704,closed,2363021
Camilla,43178.74344095744,53720,50400.0,a Bachelor's degree,high,low,48777.50548658731,49399.59015832396,closed,2363021
Max,43938.48674837565,52500,50400.0,a Bachelor's degree,low,high,48777.50548658731,49315.174235277496,closed,2363021
Caroline,93879.36194619948,75625,80640.0,a PhD,high,medium,48777.50548658731,43766.18810218596,closed,2363021
Arnault,30177.86741721472,49000,42000.0,high school,high,low,52376.37006132382,54842.870355113715,closed,21850168
Roberta,65644.91708202232,58000,70560.0,a Bachelor's degree,high,high,52376.37006132382,50902.08705902399,closed,21850168
Andreas,49495.14680807797,50000,48000.0,a PhD,low,low,52376.37006132382,52696.50597835113,closed,21850168
Anna,53242.780050170404,60000,60480.0,a Master's degree,medium,medium,52376.37006132382,52280.10228478531,closed,21850168
Josh,59368.164453316,48000,43200.0,high school,medium,medium,52376.37006132382,51599.504017769126,closed,21850168
Sabrina,35804.26542924294,39200,50400.0,high school,medium,high,52376.37006132382,54217.71502044392,closed,21850168
Marc,51994.298585339144,60500,60480.0,a Bachelor's degree,high,medium,52376.37006132382,52418.822447544335,closed,21850168
Camilla,60853.26591963866,52000,50400.0,high school,medium,high,52376.37006132382,51434.49274373327,closed,21850168
Max,51804.67048469268,54000,50400.0,high school,medium,high,52376.37006132382,52439.89223650505,closed,21850168
Caroline,65378.324383523315,52000,51840.0,a Bachelor's degree,medium,medium,52376.37006132382,50931.70846996832,closed,21850168
Arnault,44933.378944925884,51250,36000.0,high school,medium,low,60710.31969798471,62463.31311499126,closed,38327
Roberta,75622.66732059594,79000,82319.99999999999,a Master's degree,high,high,60710.31969798471,59053.39218436125,closed,38327
Andreas,38094.37704354454,46500,50400.0,a Bachelor's degree,low,high,60710.31969798471,63223.20221514473,closed,38327
Anna,88669.82146025653,50000,67200.0,a PhD,low,high,60710.31969798471,57603.70839106562,closed,38327
Josh,60594.98900812738,66000,57600.0,a PhD,low,medium,60710.31969798471,60723.13421907998,closed,38327
Sabrina,54540.37163691643,50000,50400.0,a Bachelor's degree,high,low,60710.31969798471,61395.86948254786,closed,38327
Marc,56359.202137059794,57000,60479.99999999999,a Bachelor's degree,medium,high,60710.31969798471,61193.77720475415,closed,38327
Camilla,75731.98392739164,80000,82319.99999999999,a Master's degree,high,high,60710.31969798471,59041.245894717285,closed,38327
Max,64129.44315971276,51000,50400.0,high school,medium,high,60710.31969798471,60330.41709112605,closed,38327
Caroline,48426.96234131625,50000,42000.0,a Master's degree,low,low,60710.31969798471,62075.137182058985,closed,38327
Arnault,48606.3002425706,51920,51840.0,a Bachelor's degree,medium,medium,46672.37021770856,46457.489103834996,closed,3961540
Roberta,41855.65217804504,61800,43200.0,a Bachelor's degree,medium,low,46672.37021770856,47207.56111100451,closed,3961540
Andreas,62559.410688588774,53000,57600.0,a PhD,medium,low,46672.37021770856,44907.14349872187,closed,3961540
Anna,60398.2575662333,60000,58799.99999999999,a Master's degree,high,low,46672.37021770856,45147.27162342803,closed,3961540
Josh,44698.19384685921,45000,42000.0,high school,low,high,46672.37021770856,46891.72314780293,closed,3961540
Sabrina,33050.36660661808,33000,36000.0,high school,low,medium,46672.37021770856,48185.92617449639,closed,3961540
Marc,47595.38599685936,50800,50400.0,a Master's degree,low,medium,46672.37021770856,46569.81290891403,closed,3961540
Camilla,46727.82035764203,57000,58799.99999999999,a Master's degree,high,low,46672.37021770856,46666.209091049284,closed,3961540
Max,45093.25706399931,45000,36000.0,high school,medium,low,46672.37021770856,46847.827234787364,closed,3961540
Caroline,36139.057629669864,38500,30000.0,high school,low,low,46672.37021770856,47842.738283046194,closed,3961540
Arnault,37752.848396495894,41000,30000.0,high school,low,low,47842.641345589065,48963.72945104386,closed,318161
Roberta,42035.08751066507,42876,42000.0,a Master's degree,low,low,47842.641345589065,48487.92510502507,closed,318161
Andreas,66504.23944145693,67500,60480.0,a Master's degree,medium,medium,47842.641345589065,45769.13044604819,closed,318161
Anna,62931.47460599638,58000,57600.0,a PhD,low,medium,47842.641345589065,46166.10431665492,closed,318161
Josh,46105.02078086276,54000,60480.0,a Master's degree,medium,medium,47842.641345589065,48035.71029722532,closed,318161
Sabrina,52037.15474844376,59000,43200.0,a Bachelor's degree,medium,low,47842.641345589065,47376.58430082744,closed,318161
Marc,67591.34468391663,58000,58799.99999999999,high school,high,high,47842.641345589065,45648.340974663784,closed,318161
Camilla,43895.77685541463,58,48000.0,a PhD,low,low,47842.641345589065,48281.18184449734,closed,318161
Max,31390.282705699334,55000,43200.0,high school,medium,medium,47842.641345589065,49670.6811944657,closed,318161
Caroline,28183.183726939304,34500,36000.0,high school,medium,low,47842.641345589065,50027.025525439036,closed,318161
Arnault,47008.3627027368,51,50400.0,a Master's degree,medium,low,50116.11460001243,50461.420366376384,closed,46740
Roberta,66194.62744830087,71000,70560.0,a Bachelor's degree,high,high,50116.11460001243,48329.61317242482,closed,46740
Andreas,36812.7874024363,48000,42000.0,high school,high,low,50116.11460001243,51594.26206640978,closed,46740
Anna,35256.119567739755,47000,42000.0,a Master's degree,low,low,50116.11460001243,51767.22515915384,closed,46740
Josh,37627.283225869985,41360,42000.0,high school,high,low,50116.11460001243,51503.7625304727,closed,46740
Sabrina,49066.94018383476,53560,58799.99999999999,a Master's degree,high,low,50116.11460001243,50232.68953514328,closed,46740
Marc,34907.30246112908,51250,50400.0,a Master's degree,low,medium,50116.11460001243,51805.98261544391,closed,46740
Camilla,60141.95959036184,60000,50400.0,a Bachelor's degree,high,low,50116.11460001243,49002.13182330693,closed,46740
Max,66812.8094526891,62000,70560.0,a Master's degree,medium,high,50116.11460001243,48260.92628304835,closed,46740
Caroline,67332.95396502574,65000,82319.99999999999,a Master's degree,high,high,50116.11460001243,48203.13244834429,closed,46740
Arnault,66249.60532172407,57000,58799.99999999999,high school,high,high,48324.45681309808,46332.77364547297,closed,31428726
Roberta,54304.58331822656,56000,50400.0,a Bachelor's degree,low,high,48324.45681309808,47659.998312528245,closed,31428726
Andreas,33947.45746688426,53000,50400.0,a Master's degree,medium,low,48324.45681309808,49921.90118489961,closed,31428726
Anna,61298.48120152216,70000,70560.0,a Master's degree,medium,high,48324.45681309808,46882.898547717625,closed,31428726
Josh,54445.651689884144,49000,50400.0,high school,medium,high,48324.45681309808,47644.324049010735,closed,31428726
Sabrina,34054.410737091006,39000,42000.0,high school,high,low,48324.45681309808,49910.01748820997,closed,31428726
Marc,37886.34361720702,52000,50400.0,high school,high,medium,48324.45681309808,49484.247168197086,closed,31428726
Camilla,58988.87679116649,60000,80640.0,a PhD,medium,high,48324.45681309808,47139.52125997937,closed,31428726
Max,39418.23621396066,49000,50400.0,high school,medium,high,48324.45681309808,49314.0368796689,closed,31428726
Caroline,42650.9217733143,57750,57600.0,a PhD,medium,low,48324.45681309808,48954.84959529628,closed,31428726
Arnault,79030.98363959602,97000,94080.0,a PhD,high,high,71285.30183013299,70424.67051797043,closed,494875
Roberta,88967.47223243705,54000,58799.99999999999,a Master's degree,high,low,71285.30183013299,69320.61622987698,closed,494875
Andreas,54028.65970245669,58800,58799.99999999999,high school,high,high,71285.30183013299,73202.70651098591,closed,494875
Anna,132964.57733766647,150000,94080.0,a PhD,high,high,71285.30183013299,64432.0489959626,closed,494875
Josh,45873.530690926615,53500,42000.0,a Master's degree,low,low,71285.30183013299,74108.83195671148,closed,494875
Sabrina,67184.2728913143,55000,50400.0,high school,high,medium,71285.30183013299,71740.97171222395,closed,494875
Marc,72606.94715095352,81240,82319.99999999999,a Master's degree,high,high,71285.30183013299,71138.45235004183,closed,494875
Camilla,51106.22660329609,52500,50400.0,a Master's degree,low,medium,71285.30183013299,73527.42129978153,closed,494875
Max,65121.28124438891,62500,58799.99999999999,a Master's degree,high,low,71285.30183013299,71970.19300632678,closed,494875
Caroline,55969.0668082943,58274,42000.0,a Master's degree,low,low,71285.30183013299,72987.1057214484,closed,494875
